seed,final_equity,oos_wealth_x,n_bridges_admitted,n_skip_cap,n_degenerate,n_collision,n_forced_delev,worst_margin_to_equity,trip_maintenance,trip_drift,flag_low_admission
191,496509.61,1.351,692,178,0,771,2,0.7629,False,False,True
192,454611.24,1.647,673,197,0,739,2,0.7667,False,False,True
193,535908.73,1.428,663,207,0,761,8,0.7622,False,False,True
194,609550.7,1.352,665,205,0,763,4,0.7655,False,False,True
195,911979.98,1.747,704,166,0,725,7,0.7618,False,False,True
196,724513.15,1.676,673,197,0,772,3,0.766,False,False,True
197,396365.2,1.303,688,182,0,708,4,0.7645,False,False,True
198,544824.27,1.385,660,210,0,643,6,0.7606,False,False,True
199,669478.95,1.906,660,210,0,783,6,0.7604,False,False,True
200,423178.2,1.373,690,180,0,706,3,0.7648,False,False,True
201,322043.08,1.106,667,203,0,709,2,0.7668,False,False,True
202,664453.22,1.679,687,183,0,722,5,0.7642,False,False,True
203,478192.52,1.657,694,176,0,794,1,0.7657,False,False,True
204,408445.41,1.34,686,184,0,809,2,0.7661,False,False,True
205,419394.52,1.23,657,213,0,763,4,0.7663,False,False,True
206,853998.63,1.891,708,162,0,700,1,0.7675,False,False,True
207,615951.05,1.37,693,177,0,722,6,0.7619,False,False,True
208,473375.42,1.354,685,185,0,764,0,0.7651,False,False,True
209,583209.69,1.624,673,197,0,763,2,0.7677,False,False,True
210,433343.58,1.683,650,220,0,763,4,0.7644,False,False,True
211,757862.16,1.79,690,180,0,752,1,0.7663,False,False,True
212,823420.21,1.919,695,175,0,759,1,0.7654,False,False,True
213,536923.75,1.264,687,183,0,767,0,0.7677,False,False,True
214,615035.83,1.546,696,174,0,732,4,0.7641,False,False,True
215,451033.46,1.165,651,219,0,729,2,0.7652,False,False,True
216,416354.7,1.245,681,189,0,740,6,0.7636,False,False,True
217,437268.96,1.527,669,201,0,777,1,0.7666,False,False,True
218,471536.03,1.258,687,183,0,801,3,0.7638,False,False,True
219,604309.66,1.743,673,197,0,736,4,0.7506,False,False,True
220,668753.45,1.425,660,210,0,791,2,0.7639,False,False,True
221,508539.56,1.316,664,206,0,794,3,0.7652,False,False,True
222,537667.45,2.311,677,193,0,746,2,0.7618,False,False,True
223,866688.35,1.757,670,200,0,791,8,0.7647,False,False,True
224,680929.32,1.621,672,198,0,751,2,0.7651,False,False,True
225,722711.01,2.134,683,187,0,723,9,0.7629,False,False,True
226,496847.98,1.634,705,165,0,726,1,0.7672,False,False,True
227,583190.91,1.692,672,198,0,727,2,0.7645,False,False,True
228,470185.2,1.605,658,212,0,686,3,0.7605,False,False,True
229,419607.46,1.3,667,203,0,756,2,0.7677,False,False,True
230,687821.37,1.552,676,194,0,729,7,0.7652,False,False,True
231,452235.67,1.296,671,199,0,802,8,0.7558,False,False,True
232,658891.93,1.612,693,177,0,745,2,0.7625,False,False,True
233,712977.6,2.123,676,194,0,803,1,0.7666,False,False,True
234,564248.87,1.859,688,182,0,753,7,0.7635,False,False,True
235,788496.51,1.955,686,184,0,723,1,0.7671,False,False,True
236,763493.98,2.364,685,185,0,734,3,0.767,False,False,True
237,605738.59,1.672,697,173,0,735,5,0.7665,False,False,True
238,412556.61,1.763,680,190,0,732,6,0.7662,False,False,True
239,386361.44,1.531,662,208,0,771,2,0.7654,False,False,True
240,378545.52,1.335,681,189,0,714,3,0.7656,False,False,True
241,645115.52,1.718,694,176,0,738,0,0.7665,False,False,True
242,454716.31,1.462,684,186,0,737,8,0.763,False,False,True
243,713492.04,1.64,677,193,0,748,1,0.7635,False,False,True
244,1232195.98,2.495,715,155,0,749,3,0.764,False,False,True
245,731722.02,1.963,705,165,0,778,2,0.7657,False,False,True
246,293934.4,1.263,668,202,0,746,10,0.7648,False,False,True
247,667843.65,1.761,668,202,0,785,3,0.7628,False,False,True
248,383038.89,1.111,683,187,0,743,5,0.764,False,False,True
249,511244.66,1.87,706,164,0,724,4,0.7655,False,False,True
250,520559.4,1.258,675,195,0,698,5,0.7651,False,False,True
251,841044.68,1.988,684,186,0,774,1,0.7661,False,False,True
252,518160.92,1.656,693,177,0,719,4,0.7625,False,False,True
253,372458.12,1.17,672,198,0,697,4,0.7636,False,False,True
254,458263.56,1.477,678,192,0,707,2,0.7636,False,False,True
255,566739.08,1.484,693,177,0,788,0,0.7681,False,False,True
256,403154.57,1.518,698,172,0,744,3,0.7661,False,False,True
257,514242.73,1.808,696,174,0,747,5,0.7659,False,False,True
258,589149.38,1.784,676,194,0,739,3,0.7664,False,False,True
259,838119.99,2.162,695,175,0,780,5,0.7623,False,False,True
260,398653.95,1.249,681,189,0,700,3,0.7649,False,False,True
261,700569.38,1.905,652,218,0,724,1,0.7638,False,False,True
262,338717.65,1.367,649,221,0,782,7,0.765,False,False,True
263,458218.94,1.649,676,194,0,744,6,0.7604,False,False,True
264,998972.37,1.496,691,179,0,742,2,0.7671,False,False,True
265,1205836.05,2.277,688,182,0,793,3,0.764,False,False,True
266,401493.98,1.333,687,183,0,743,2,0.7668,False,False,True
267,306851.15,1.618,661,209,0,722,6,0.7631,False,False,True
268,360231.36,1.218,664,206,0,780,5,0.7623,False,False,True
269,443959.77,1.848,689,181,0,672,0,0.765,False,False,True
270,948625.89,2.044,707,163,0,742,4,0.7667,False,False,True
271,677796.49,1.945,680,190,0,732,3,0.7656,False,False,True
272,752207.96,2.473,698,172,0,708,3,0.764,False,False,True
273,566348.13,1.43,686,184,0,765,9,0.7645,False,False,True
274,609916.89,1.433,685,185,0,763,2,0.7645,False,False,True
275,730076.41,1.754,664,206,0,757,3,0.7657,False,False,True
276,986396.54,2.004,686,184,0,708,5,0.7628,False,False,True
277,421021.12,1.782,662,208,0,765,4,0.7633,False,False,True
278,715667.9,1.684,674,196,0,762,0,0.7674,False,False,True
279,679164.58,1.885,680,190,0,713,4,0.764,False,False,True
280,523853.45,1.856,699,171,0,686,3,0.7613,False,False,True
281,680664.46,1.63,679,191,0,730,4,0.7628,False,False,True
282,371307.64,1.172,669,201,0,696,3,0.7673,False,False,True
283,568283.08,1.762,696,174,0,801,1,0.762,False,False,True
284,843287.65,1.406,686,184,0,726,2,0.7635,False,False,True
285,514912.23,1.672,680,190,0,714,4,0.7611,False,False,True
286,264339.13,1.151,667,203,0,770,3,0.7652,False,False,True
287,1207057.8,2.226,685,185,0,728,5,0.7646,False,False,True
288,503376.02,1.465,681,189,0,759,3,0.7609,False,False,True
289,513615.92,1.679,645,225,0,740,2,0.7636,False,False,True
290,693678.64,1.447,651,219,0,750,2,0.765,False,False,True
291,489582.09,1.443,671,199,0,714,2,0.7648,False,False,True
292,499104.63,1.549,698,172,0,727,4,0.7611,False,False,True
293,503628.29,1.579,683,187,0,727,3,0.7647,False,False,True
294,801853.6,2.59,700,170,0,704,7,0.7649,False,False,True
295,688889.03,1.305,716,154,0,711,3,0.7623,False,False,True
296,426460.94,1.605,682,188,0,695,4,0.7646,False,False,True
297,884806.32,1.751,705,165,0,788,1,0.7593,False,False,True
298,426861.24,1.477,697,173,0,736,4,0.7662,False,False,True
299,488138.17,1.898,673,197,0,781,0,0.7658,False,False,True
300,411494.53,1.0,674,196,0,700,5,0.7648,False,False,True
301,502743.54,1.408,693,177,0,755,3,0.7652,False,False,True
302,366610.49,1.293,690,180,0,754,3,0.7638,False,False,True
303,512449.96,1.661,698,172,0,750,4,0.7613,False,False,True
304,1006740.74,1.941,687,183,0,779,2,0.7675,False,False,True
305,557470.65,1.455,673,197,0,761,3,0.7632,False,False,True
306,881782.95,1.973,704,166,0,662,2,0.7664,False,False,True
307,549830.07,1.846,673,197,0,718,2,0.763,False,False,True
308,731287.79,1.647,675,195,0,794,0,0.7664,False,False,True
309,476866.84,1.508,704,166,0,755,6,0.7644,False,False,True
310,668934.97,2.071,700,170,0,761,5,0.7627,False,False,True
311,383082.1,1.364,677,193,0,683,0,0.7645,False,False,True
312,611601.52,1.26,666,204,0,727,3,0.766,False,False,True
313,601146.04,1.691,676,194,0,756,8,0.7652,False,False,True
314,529119.47,1.904,668,202,0,651,1,0.7651,False,False,True
315,952605.94,1.608,703,167,0,688,1,0.7664,False,False,True
316,338220.13,1.151,660,210,0,725,3,0.7635,False,False,True
317,552670.61,1.738,699,171,0,707,2,0.7683,False,False,True
318,540526.41,1.791,680,190,0,745,1,0.763,False,False,True
319,541645.25,1.62,669,201,0,732,4,0.7664,False,False,True
320,532499.74,1.475,680,190,0,687,6,0.7629,False,False,True
321,425506.17,1.395,690,180,0,753,5,0.7644,False,False,True
322,477033.23,1.154,665,205,0,743,3,0.766,False,False,True
323,705821.38,1.531,688,182,0,760,6,0.7628,False,False,True
324,749236.82,1.41,696,174,0,765,1,0.7656,False,False,True
325,423884.16,1.263,682,188,0,734,2,0.766,False,False,True
326,528842.3,1.556,663,207,0,737,2,0.7654,False,False,True
327,511689.7,1.313,684,186,0,752,3,0.7624,False,False,True
328,551542.02,1.994,684,186,0,726,4,0.7633,False,False,True
329,596527.37,1.285,711,159,0,716,4,0.7595,False,False,True
330,628793.34,1.747,670,200,0,747,2,0.7621,False,False,True
331,491773.67,1.637,674,196,0,719,2,0.7641,False,False,True
332,417002.38,1.438,648,222,0,721,4,0.7635,False,False,True
333,585769.61,1.573,687,183,0,703,4,0.7643,False,False,True
334,806697.54,1.6,668,202,0,762,4,0.7647,False,False,True
335,516118.72,1.384,667,203,0,744,3,0.7657,False,False,True
336,557654.72,1.704,671,199,0,714,6,0.761,False,False,True
337,589571.55,1.519,673,197,0,687,2,0.7651,False,False,True
338,639391.55,1.449,682,188,0,692,3,0.7652,False,False,True
