cell,month,X_bps,Z_bench_bps,REV_bench_bps,d1_d10_bps,crisis
AREA_EP_f5,2025-12,-72.65663421610363,-77.97222714167891,-8.010781125718617,-54.14774691391854,False
AREA_EP_f21,2016-01,180.5180089351592,54.38174009354195,162.2003335071573,252.96106422510525,False
AREA_EP_f21,2016-02,189.44049741535795,4.2057963593016,303.4316874742268,195.4399100861591,False
AREA_EP_f21,2016-03,163.3559039352299,420.74544925173706,19.85794842074647,240.63049304588534,False
AREA_EP_f21,2016-04,-47.543945756531116,109.38837142112304,-118.36522449588603,-35.94697453487848,False
AREA_EP_f21,2016-05,255.9621523234055,365.3764382876641,278.6092179699875,344.1098426329455,False
AREA_EP_f21,2016-06,356.0365396379093,255.0576593435771,483.47025034116746,540.5802171818902,False
AREA_EP_f21,2016-07,20.11583823039462,-131.66626330950916,-49.75361121032754,-24.28726982529822,False
AREA_EP_f21,2016-08,-87.04287608103243,-75.8353701254467,-69.79636204794333,-82.00972100505993,False
AREA_EP_f21,2016-09,111.56595378390882,79.70681697172274,-14.378076607573474,137.90382260802596,False
AREA_EP_f21,2016-10,-262.47890684728446,-187.22981483901322,360.5757128303843,-166.31132862247836,False
AREA_EP_f21,2016-11,170.88291805786994,102.4749627706761,97.72803529066482,183.0720517030876,False
AREA_EP_f21,2016-12,-47.46780676312656,-246.72585753871294,-150.13209857797298,52.20480562240581,False
AREA_EP_f21,2017-01,7.36262476210843,3.539040650460332,-249.28211424194984,4.496211941947825,False
AREA_EP_f21,2017-02,27.335235461379014,-35.54913174663697,21.91448775512463,41.60216060089621,False
AREA_EP_f21,2017-03,-24.541908841999543,42.07915090626041,-123.9156610445753,-29.01449976234234,False
AREA_EP_f21,2017-04,-242.42226218642827,-396.17280724066546,-386.7875606815951,-359.16923949592325,False
AREA_EP_f21,2017-05,175.73088226340877,115.21102445914295,136.8111630461186,301.98588938656826,False
AREA_EP_f21,2017-06,100.34011152088696,42.5600260577094,41.08422601671555,114.97938318593113,False
AREA_EP_f21,2017-07,-208.75728032838782,3.4640439224745134,-276.3906695663778,-239.7058142798621,False
AREA_EP_f21,2017-08,199.85668652874696,68.15791939968959,164.2101212669573,278.74507821628384,False
AREA_EP_f21,2017-09,-68.77501219950415,-1.6971171908952698,-178.00232690587816,-72.81629049530771,False
AREA_EP_f21,2017-10,-45.620407728646434,-56.312904441934776,108.6202201973583,-1.203146952971773,False
AREA_EP_f21,2017-11,85.9965060888102,-133.78413698782907,2.926178963887742,88.61379278980613,False
AREA_EP_f21,2017-12,-303.4027555482133,-180.77281230548581,-229.62837561819921,-319.3224666869567,False
AREA_EP_f21,2018-01,-64.51506642198679,-248.85778045017744,-119.1957867891473,-133.41386223414736,False
AREA_EP_f21,2018-02,98.14225628929616,97.39371997362679,3.8927508307381835,131.37090031348626,False
AREA_EP_f21,2018-03,-59.48078609838106,46.520632319782486,70.8051667003178,-179.5944639361224,False
AREA_EP_f21,2018-04,17.25001084434786,25.692645613068084,272.2958981957814,98.70638785083227,False
AREA_EP_f21,2018-05,147.9166160397238,271.2891867595605,353.2699978412732,95.33211636364167,False
AREA_EP_f21,2018-06,341.83461024807383,26.77954560238782,153.9940152511244,572.5097901070851,False
AREA_EP_f21,2018-07,-43.348528973489174,257.2082322874004,18.1994516187969,55.7720171199827,False
AREA_EP_f21,2018-08,-83.76485969109778,4.029530829272224,-19.284495726003282,-105.55517739484858,False
AREA_EP_f21,2018-09,44.63630681866657,188.3624729883124,-239.8485503131882,210.43117572753053,False
AREA_EP_f21,2018-10,236.53217330273316,-85.04938028813577,-50.91774569694289,264.8228240111633,False
AREA_EP_f21,2018-11,-14.734416890390262,-65.08632978966159,-36.49563292805983,-46.538390802558226,False
AREA_EP_f21,2018-12,352.96995953819436,330.58484025354994,639.3952390162138,702.4272871770145,False
AREA_EP_f21,2019-01,58.95500847710872,37.51848844661086,-50.58924950593128,65.4621838057079,False
AREA_EP_f21,2019-02,-45.29204084134591,-105.5318148864251,-92.3660021274651,-47.11516542767257,False
AREA_EP_f21,2019-03,157.35237779971192,287.91654618039536,127.0929586367106,243.9107353305782,False
AREA_EP_f21,2019-04,200.6499240604056,-351.1445902410042,-56.68191356340148,66.1526442170149,False
