arm,null,seed,final_equity
ADDS_LEAN_SELECT,N2,165,536657.62
ADDS_LEAN_SELECT,N2,166,576962.05
ADDS_LEAN_SELECT,N2,167,585004.6
ADDS_LEAN_SELECT,N2,168,538988.23
ADDS_LEAN_SELECT,N2,169,497464.34
ADDS_LEAN_SELECT,N2,170,572186.28
ADDS_LEAN_SELECT,N2,171,588395.51
ADDS_LEAN_SELECT,N2,172,599937.53
ADDS_LEAN_SELECT,N2,173,552887.57
ADDS_LEAN_SELECT,N2,174,547943.32
ADDS_LEAN_SELECT,N2,175,541678.31
ADDS_LEAN_SELECT,N2,176,543022.15
ADDS_LEAN_SELECT,N2,177,602033.3
ADDS_LEAN_SELECT,N2,178,545188.83
ADDS_LEAN_SELECT,N2,179,606893.37
ADDS_LEAN_SELECT,N2,180,590403.13
ADDS_LEAN_SELECT,N2,181,536727.36
ADDS_LEAN_SELECT,N2,182,630671.11
ADDS_LEAN_SELECT,N2,183,595670.17
ADDS_LEAN_SELECT,N2,184,522059.91
ADDS_LEAN_SELECT,N2,185,485592.38
ADDS_LEAN_SELECT,N2,186,554834.82
ADDS_LEAN_SELECT,N2,187,527653.72
ADDS_LEAN_SELECT,N2,188,553398.79
ADDS_LEAN_SELECT,N2,189,643714.4
ADDS_LEAN_SELECT,N2,190,554159.27
ADDS_LEAN_SELECT,N2,191,552887.57
ADDS_LEAN_SELECT,N2,192,566376.98
ADDS_LEAN_SELECT,N2,193,556587.56
ADDS_LEAN_SELECT,N2,194,548207.86
ADDS_LEAN_SELECT,N2,195,591381.98
ADDS_LEAN_SELECT,N2,196,553398.79
ADDS_LEAN_SELECT,N2,197,547108.86
ADDS_LEAN_SELECT,N2,198,590990.7
ADDS_LEAN_SELECT,N2,199,619884.2
ADDS_LEAN_SIZER,N1,0,528831.31
ADDS_LEAN_SIZER,N1,1,519880.87
ADDS_LEAN_SIZER,N1,2,546852.26
ADDS_LEAN_SIZER,N1,3,644917.71
ADDS_LEAN_SIZER,N1,4,512458.51
ADDS_LEAN_SIZER,N1,5,888334.41
ADDS_LEAN_SIZER,N1,6,609334.25
ADDS_LEAN_SIZER,N1,7,653997.28
ADDS_LEAN_SIZER,N1,8,394442.2
ADDS_LEAN_SIZER,N1,9,548967.77
ADDS_LEAN_SIZER,N1,10,571351.26
ADDS_LEAN_SIZER,N1,11,742875.71
ADDS_LEAN_SIZER,N1,12,924118.46
ADDS_LEAN_SIZER,N1,13,620336.88
ADDS_LEAN_SIZER,N1,14,836314.48
ADDS_LEAN_SIZER,N1,15,551925.66
ADDS_LEAN_SIZER,N1,16,523525.48
ADDS_LEAN_SIZER,N1,17,507291.71
ADDS_LEAN_SIZER,N1,18,745741.36
ADDS_LEAN_SIZER,N1,19,692172.23
ADDS_LEAN_SIZER,N1,20,629560.48
ADDS_LEAN_SIZER,N1,21,815511.5
ADDS_LEAN_SIZER,N1,22,541971.51
ADDS_LEAN_SIZER,N1,23,502652.5
ADDS_LEAN_SIZER,N1,24,465068.06
ADDS_LEAN_SIZER,N1,25,855997.72
ADDS_LEAN_SIZER,N1,26,453639.08
ADDS_LEAN_SIZER,N1,27,766743.89
ADDS_LEAN_SIZER,N1,28,626978.64
ADDS_LEAN_SIZER,N1,29,633296.81
ADDS_LEAN_SIZER,N1,30,472202.12
ADDS_LEAN_SIZER,N1,31,805013.68
