run,date,equity,n_pos
ALL_EW_ALL,2021-05-03,193886.09,215
ALL_EW_ALL,2021-05-04,193402.07,219
ALL_EW_ALL,2021-05-05,194511.72,218
ALL_EW_ALL,2021-05-06,195192.32,218
ALL_EW_ALL,2021-05-07,197712.3,230
ALL_EW_ALL,2021-05-10,197102.64,230
ALL_EW_ALL,2021-05-11,194923.33,218
ALL_EW_ALL,2021-05-12,190496.29,185
ALL_EW_ALL,2021-05-13,192922.42,162
ALL_EW_ALL,2021-05-14,196451.63,163
ALL_EW_ALL,2021-05-17,196636.34,166
ALL_EW_ALL,2021-05-18,195502.67,164
ALL_EW_ALL,2021-05-19,194476.78,160
ALL_EW_ALL,2021-05-20,196175.4,158
ALL_EW_ALL,2021-05-21,196421.32,192
ALL_EW_ALL,2021-05-24,198095.73,195
ALL_EW_ALL,2021-05-25,197517.47,219
ALL_EW_ALL,2021-05-26,198301.03,229
ALL_EW_ALL,2021-05-27,199236.05,236
ALL_EW_ALL,2021-05-28,199474.79,262
ALL_EW_ALL,2021-06-01,200104.42,266
ALL_EW_ALL,2021-06-02,200485.64,281
ALL_EW_ALL,2021-06-03,199660.0,284
ALL_EW_ALL,2021-06-04,200900.43,273
ALL_EW_ALL,2021-06-07,200838.47,275
ALL_EW_ALL,2021-06-08,201254.58,275
ALL_EW_ALL,2021-06-09,200386.56,274
ALL_EW_ALL,2021-06-10,200970.8,272
ALL_EW_ALL,2021-06-11,201488.07,281
ALL_EW_ALL,2021-06-14,200934.28,280
ALL_EW_ALL,2021-06-15,200833.84,281
ALL_EW_ALL,2021-06-16,199468.96,277
ALL_EW_ALL,2021-06-17,197856.9,275
ALL_EW_ALL,2021-06-18,194744.69,274
ALL_EW_ALL,2021-06-21,198224.83,269
ALL_EW_ALL,2021-06-22,198652.73,275
ALL_EW_ALL,2021-06-23,198353.02,274
ALL_EW_ALL,2021-06-24,199518.73,273
ALL_EW_ALL,2021-06-25,201095.65,287
ALL_EW_ALL,2021-06-28,200179.77,305
ALL_EW_ALL,2021-06-29,199859.94,308
ALL_EW_ALL,2021-06-30,200486.68,309
ALL_EW_ALL,2021-07-01,201655.17,305
ALL_EW_ALL,2021-07-02,201929.97,321
ALL_EW_ALL,2021-07-06,199692.6,325
ALL_EW_ALL,2021-07-07,199992.14,321
ALL_EW_ALL,2021-07-08,197642.39,326
ALL_EW_ALL,2021-07-09,201036.64,313
ALL_EW_ALL,2021-07-12,201722.84,319
ALL_EW_ALL,2021-07-13,199714.92,320
ALL_EW_ALL,2021-07-14,199421.03,300
ALL_EW_ALL,2021-07-15,199058.3,294
ALL_EW_ALL,2021-07-16,197168.6,296
ALL_EW_ALL,2021-07-19,193058.62,290
ALL_EW_ALL,2021-07-20,196898.16,274
ALL_EW_ALL,2021-07-21,199350.43,280
ALL_EW_ALL,2021-07-22,198021.21,287
ALL_EW_ALL,2021-07-23,199405.79,288
ALL_EW_ALL,2021-07-26,200382.93,292
ALL_EW_ALL,2021-07-27,200002.45,301
ALL_EW_ALL,2021-07-28,200015.14,301
ALL_EW_ALL,2021-07-29,201512.97,297
ALL_EW_ALL,2021-07-30,200724.82,309
ALL_EW_ALL,2021-08-02,200145.94,304
ALL_EW_ALL,2021-08-03,201478.25,296
ALL_EW_ALL,2021-08-04,198901.7,302
ALL_EW_ALL,2021-08-05,200931.14,288
ALL_EW_ALL,2021-08-06,202189.95,285
ALL_EW_ALL,2021-08-09,201490.95,288
ALL_EW_ALL,2021-08-10,203091.86,276
ALL_EW_ALL,2021-08-11,205161.29,273
ALL_EW_ALL,2021-08-12,204619.27,277
ALL_EW_ALL,2021-08-13,203932.55,269
ALL_EW_ALL,2021-08-16,203438.53,256
ALL_EW_ALL,2021-08-17,201408.69,245
ALL_EW_ALL,2021-08-18,199211.04,217
ALL_EW_ALL,2021-08-19,198168.3,205
ALL_EW_ALL,2021-08-20,199504.57,203
ALL_EW_ALL,2021-08-23,201488.96,206
ALL_EW_ALL,2021-08-24,202967.01,204
ALL_EW_ALL,2021-08-25,204011.33,218
ALL_EW_ALL,2021-08-26,202230.65,228
ALL_EW_ALL,2021-08-27,204776.18,225
ALL_EW_ALL,2021-08-30,203918.89,240
ALL_EW_ALL,2021-08-31,204263.17,242
ALL_EW_ALL,2021-09-01,204098.47,244
ALL_EW_ALL,2021-09-02,205484.83,256
ALL_EW_ALL,2021-09-03,204593.77,265
ALL_EW_ALL,2021-09-07,202737.06,260
ALL_EW_ALL,2021-09-08,202198.04,253
ALL_EW_ALL,2021-09-09,201701.82,252
ALL_EW_ALL,2021-09-10,200077.91,250
ALL_EW_ALL,2021-09-13,201853.79,248
ALL_EW_ALL,2021-09-14,199989.46,254
ALL_EW_ALL,2021-09-15,202125.85,251
ALL_EW_ALL,2021-09-16,201700.54,264
ALL_EW_ALL,2021-09-17,200162.69,264
ALL_EW_ALL,2021-09-20,196921.69,254
ALL_EW_ALL,2021-09-21,196116.67,251
ALL_EW_ALL,2021-09-22,198519.62,253
ALL_EW_ALL,2021-09-23,201520.45,262
ALL_EW_ALL,2021-09-24,202010.7,291
ALL_EW_ALL,2021-09-27,203168.28,299
ALL_EW_ALL,2021-09-28,200593.05,306
ALL_EW_ALL,2021-09-29,200926.68,288
ALL_EW_ALL,2021-09-30,197543.79,283
ALL_EW_ALL,2021-10-01,199979.65,270
ALL_EW_ALL,2021-10-04,199009.53,271
ALL_EW_ALL,2021-10-05,200371.15,273
ALL_EW_ALL,2021-10-06,200635.91,278
ALL_EW_ALL,2021-10-07,202536.28,279
ALL_EW_ALL,2021-10-08,202052.05,301
ALL_EW_ALL,2021-10-11,200863.16,302
ALL_EW_ALL,2021-10-12,200675.44,293
ALL_EW_ALL,2021-10-13,201263.04,292
ALL_EW_ALL,2021-10-14,204864.23,295
ALL_EW_ALL,2021-10-15,205531.73,315
ALL_EW_ALL,2021-10-18,205594.01,318
ALL_EW_ALL,2021-10-19,206756.92,314
ALL_EW_ALL,2021-10-20,208281.35,323
ALL_EW_ALL,2021-10-21,208915.72,324
ALL_EW_ALL,2021-10-22,209177.88,314
ALL_EW_ALL,2021-10-25,209484.21,303
ALL_EW_ALL,2021-10-26,208882.05,288
ALL_EW_ALL,2021-10-27,206441.55,270
ALL_EW_ALL,2021-10-28,208334.87,239
ALL_EW_ALL,2021-10-29,207864.82,238
ALL_EW_ALL,2021-11-01,209543.29,228
ALL_EW_ALL,2021-11-02,210169.01,231
