ticker,add_date,add_px,add_dollars,mult,lean,orig_entry,exit_date,exit_px,pos_ret,pos_pnl
MDT,2021-12-08,112.38,49156.28,1.4375,-0.05847,2021-11-11,2022-01-19,107.39,-0.0783,-6586.02
GPS,2022-01-27,17.86,49183.41,1.4375,-0.05839,2022-01-26,2022-02-02,18.46,0.0321,2770.75
NCLH,2022-02-01,20.92,36187.49,1.5,-0.06121,2022-01-10,2022-02-11,22.57,0.0417,3057.79
TWTR,2022-02-03,33.84,50714.37,1.5,-0.06121,2021-12-31,2022-04-01,39.16,0.0447,3908.21
NKE,2022-02-22,141.59,52211.43,1.5,-0.06121,2021-12-30,2022-04-01,134.45,-0.1113,-9579.22
HST,2022-03-14,18.21,50468.17,1.5,-0.0625,2022-03-11,2022-03-22,18.47,0.0075,720.22
PG,2022-03-22,153.43,54243.27,1.5,-0.0625,2022-02-18,2022-04-01,153.52,-0.0154,-1284.15
CVS,2022-04-12,104.4,51980.91,1.4375,-0.06161,2022-04-11,2022-07-21,92.52,-0.1214,-10636.54
BKR,2022-04-13,36.87,22902.71,1.4375,-0.06161,2022-04-11,2022-06-01,36.53,-0.0077,-398.98
COP,2022-05-03,96.68,36468.6,1.5,-0.06572,2022-04-11,2022-05-06,104.17,0.0489,3632.61
KMI,2022-05-10,18.77,51852.41,1.5,-0.06572,2022-05-09,2022-05-19,18.97,0.0047,496.04
BMY,2022-06-09,76.09,49655.04,1.375,-0.07002,2022-06-08,2022-07-01,76.98,0.0083,798.93
NFLX,2022-06-23,18.05,20854.74,1.375,-0.07002,2022-05-26,2022-07-25,22.131,0.1999,11471.64
F,2022-07-14,11.22,49747.44,1.5,-0.07207,2022-03-25,2022-07-27,12.75,-0.0223,-1829.78
FCX,2022-07-25,28.54,55718.52,1.5,-0.07207,2022-07-21,2022-08-02,29.63,0.0379,3588.19
AAL,2022-08-03,14.2,57888.16,1.5,-0.06778,2022-08-02,2022-10-21,13.36,-0.0561,-5310.99
UAL,2022-08-03,37.67,18435.24,1.5,-0.06778,2022-08-02,2022-11-03,40.57,0.0847,4879.12
GILD,2022-09-07,63.67,56742.56,1.5,-0.06768,2022-09-02,2022-09-14,64.41,0.0021,291.25
PYPL,2022-10-24,84.55,58878.78,1.5,-0.0742,2022-09-15,2023-06-22,67.52,-0.2374,-23097.86
MU,2022-11-04,55.26,54277.73,1.4375,-0.07521,2022-08-19,2022-11-17,57.3,-0.0108,-920.75
AMZN,2022-11-11,97.88,50358.82,1.25,-0.0831,2022-10-21,2023-01-19,94.74,-0.0946,-8298.8
MO,2022-11-28,44.74,24371.84,1.4375,-0.07521,2022-11-23,2022-12-06,47.18,0.0468,3021.87
WBD,2022-12-14,10.8,31746.8,1.4375,-0.07495,2022-12-13,2023-02-08,15.26,0.3549,25135.1
PCG,2023-01-27,15.87,43596.39,1.4375,-0.07504,2023-01-26,2023-03-08,16.32,0.0245,2158.5
APA,2023-02-13,43.25,54378.85,1.4375,-0.0749,2023-01-20,2023-04-05,37.89,-0.138,-12881.61
KLAC,2023-03-09,38.697,47488.88,1.4375,-0.07222,2023-02-08,2023-05-24,40.685,0.0196,1826.23
KEY,2023-04-17,12.01,42606.94,1.4375,-0.07591,2023-04-14,2023-06-09,10.98,-0.1052,-8416.86
AAL,2023-04-25,13.16,53488.7,1.4375,-0.07591,2023-03-08,2023-05-22,14.915,0.0375,3567.7
ANET,2023-05-24,35.575,53953.17,1.4375,-0.07704,2023-05-22,2023-06-07,39.9175,0.1116,10320.76
INTC,2023-05-24,29.31,53949.3,1.4375,-0.07704,2023-05-22,2023-06-22,32.69,0.1059,9798.23
KO,2023-07-07,60.31,59097.82,1.4375,-0.07591,2023-06-16,2023-07-26,61.86,0.0157,1696.93
T,2023-07-25,15.08,28228.24,1.4375,-0.07591,2023-06-28,2023-09-19,15.06,-0.0296,-1979.28
