variant,ticker,entry_date,days,last_date,exit_date,exit_reason,trade_ret
SCORE_R,EOG,2017-03-07,85,2017-07-05,2017-07-06,rollback,-0.09830677290836809
SCORE_R,PYPL,2017-07-06,5,2017-07-11,2017-07-12,rollback,0.04389524160826275
SCORE_R,CTSH,2017-07-06,14,2017-07-24,2017-07-25,rollback,0.05266325609389155
SCORE_R,HPQ,2017-06-27,25,2017-07-31,2017-08-01,rollback,0.0574585635359115
SCORE_R,KMI,2016-10-25,194,2017-08-01,2017-08-02,rollback,-0.0678357175819091
SCORE_R,NEM,2017-03-22,96,2017-08-04,2017-08-07,rollback,0.05609114811568805
SCORE_R,TJX,2017-07-03,28,2017-08-09,2017-08-10,rollback,-0.02697866483138389
SCORE_R,MU,2017-07-12,33,2017-08-24,2017-08-25,rollback,-0.04627006610009465
SCORE_R,BMY,2017-06-13,59,2017-09-01,2017-09-05,rollback,0.09872670234360492
SCORE_R,VLO,2017-08-01,26,2017-09-05,2017-09-06,rollback,-0.016149963950973567
SCORE_R,COG,2017-08-02,28,2017-09-08,2017-09-11,rollback,0.03691941246526431
SCORE_R,EOG,2017-09-06,4,2017-09-08,2017-09-11,rollback,0.004497232472324697
SCORE_R,M,2017-06-28,56,2017-09-14,2017-09-15,rollback,-0.05213270142180171
SCORE_R,CVX,2017-09-05,21,2017-10-02,2017-10-03,rollback,0.07059253840526636
SCORE_R,AKAM,2016-12-15,203,2017-10-04,2017-10-05,rollback,-0.242628349049544
SCORE_R,PCAR,2017-08-07,45,2017-10-06,2017-10-09,rollback,0.073462046544438
SCORE_R,MDT,2017-09-11,37,2017-10-30,2017-10-31,rollback,-0.02164133738601759
SCORE_R,K,2017-09-11,40,2017-11-02,2017-11-03,rollback,-0.08979591836734713
SCORE_R,INTU,2017-10-09,22,2017-11-06,2017-11-07,rollback,0.06172925038104471
SCORE_R,FLR,2017-10-31,12,2017-11-14,2017-11-15,rollback,0.0556328233657859
SCORE_R,ICE,2017-11-03,15,2017-11-22,2017-11-24,rollback,-0.004986068338465932
SCORE_R,PVH,2017-08-25,69,2017-11-30,2017-12-01,rollback,0.059985885673959016
SCORE_R,ZBH,2017-05-12,143,2017-12-01,2017-12-04,rollback,-0.04798940923382444
SCORE_R,CL,2017-12-01,5,2017-12-06,2017-12-07,rollback,0.019721417735484303
SCORE_R,HRB,2017-08-10,86,2017-12-08,2017-12-11,rollback,-0.11396103896103849
SCORE_R,NLSN,2017-09-15,61,2017-12-08,2017-12-11,rollback,-0.03260315843097328
SCORE_R,INTU,2017-12-07,10,2017-12-19,2017-12-20,rollback,0.029477875537858855
SCORE_R,MYL,2017-11-15,31,2017-12-28,2017-12-29,rollback,0.11169931180518877
SCORE_R,RRC,2017-11-07,41,2018-01-04,2018-01-05,rollback,-0.11244143675169149
