ticker,add_date,add_px,add_dollars,mult,lean,orig_entry,exit_date,exit_px,pos_ret,pos_pnl
COTY,2018-11-19,9.38,16517.61,1.0,-0.04677,2018-09-18,2019-01-10,7.29,-0.3176,-10595.2
LRCX,2018-11-20,14.024,16269.83,1.0,-0.06085,2018-11-02,2018-12-06,14.5,-0.0101,-297.2
BMY,2019-01-17,49.16,15813.42,1.0,-0.07463,2018-12-07,2019-03-07,52.7,0.0295,977.03
CVS,2019-01-25,65.57,16037.51,1.0,-0.07463,2019-01-24,2019-05-06,55.97,-0.1468,-4659.27
AMZN,2019-02-19,80.05,16971.24,1.0,-0.07111,2019-02-06,2019-03-25,87.8895,0.0743,2520.18
HRB,2019-03-20,24.31,16810.28,1.0,-0.07147,2019-02-22,2019-04-24,26.35,0.0752,2545.47
AMD,2019-05-09,26.7,17507.87,1.0,-0.06948,2019-05-03,2019-06-13,32.39,0.1772,6331.26
ATVI,2019-05-20,45.65,17673.68,1.0,-0.06948,2019-04-24,2019-09-17,55.5,0.2041,7221.58
NFLX,2019-05-23,35.55,17210.0,1.0,-0.06948,2019-03-12,2019-10-21,27.289,-0.2372,-7924.02
JNJ,2019-09-11,129.86,19079.7,1.0,-0.07047,2019-07-09,2019-11-19,135.0,-0.0043,-127.65
F,2019-11-08,8.9,19350.01,1.0,-0.06695,2019-11-04,2019-12-18,9.39,0.0522,2059.64
KO,2019-11-19,53.15,19719.85,1.0,-0.06695,2019-10-21,2019-12-06,54.31,0.0089,381.96
ATVI,2019-11-21,53.95,19590.42,1.0,-0.06695,2019-10-31,2019-12-26,58.81,0.0699,2751.32
TSCO,2020-01-02,18.738,20885.19,1.0,-0.06714,2019-12-06,2020-02-10,19.234,0.0057,271.35
CVS,2020-02-10,71.55,20541.56,1.0,-0.06676,2019-12-26,2020-04-14,59.88,-0.1818,-7519.24
USB,2020-02-10,54.44,20540.53,1.0,-0.06676,2019-12-27,2020-04-15,35.13,-0.3873,-16047.84
BEN,2020-04-09,17.26,16111.19,1.0,-0.08393,2020-02-19,2020-05-06,18.12,-0.152,-5568.35
AAL,2020-05-04,9.41,16241.7,1.0,-0.08349,2020-04-15,2020-05-29,10.48,-0.0237,-727.28
GILD,2020-06-02,74.37,18186.79,1.0,-0.08232,2020-06-01,2021-01-14,61.64,-0.178,-6434.35
CRM,2020-06-12,175.9,18572.19,1.0,-0.08232,2020-06-11,2020-06-24,187.51,0.0627,2371.79
NFLX,2020-06-12,42.9,18571.26,1.0,-0.08232,2020-06-10,2020-06-25,45.886,0.0601,2240.79
AMD,2020-06-15,52.58,18268.02,1.0,-0.08232,2020-06-10,2020-08-18,82.8,0.5067,19451.99
MU,2020-07-15,50.21,19522.25,1.0,-0.08009,2020-07-01,2020-09-22,49.27,-0.0321,-1202.5
TWTR,2020-09-22,40.37,21396.19,1.0,-0.07537,2020-09-21,2020-09-25,43.21,0.082,3557.16
ORLY,2020-10-05,30.6513,22045.6,1.0,-0.07068,2020-09-01,2021-01-14,32.224,0.0418,1873.56
GPS,2020-12-10,21.6,23785.62,1.0,-0.07275,2020-06-29,2021-03-17,31.12,0.8681,36996.64
CPRT,2021-01-14,29.775,25009.8,1.0,-0.06922,2020-12-14,2021-04-07,28.1525,-0.0492,-2350.06
MSFT,2021-01-14,215.91,25008.55,1.0,-0.06922,2020-12-02,2021-02-01,235.06,0.0901,4451.44
CMCSA,2021-02-01,49.86,24287.94,1.0,-0.0682,2021-01-29,2021-02-16,53.0,0.0571,2841.28
WMT,2021-02-11,48.0467,25720.0,1.0,-0.0682,2021-01-05,2021-03-31,45.1833,-0.0681,-3316.55
NFLX,2021-03-17,52.2,27792.15,1.0,-0.06725,2021-03-02,2021-04-13,55.7,0.0366,2036.75
ABBV,2021-04-15,105.99,29393.67,1.0,-0.06763,2021-03-30,2021-05-12,114.85,0.0782,4527.46
T,2021-04-21,29.96,29163.77,1.0,-0.06763,2021-03-05,2021-04-27,30.84,0.0442,2500.14
NKE,2021-05-03,133.37,30400.87,1.0,-0.0673,2021-04-13,2021-05-11,138.38,0.0282,1741.08
APH,2021-05-11,32.84,30371.13,1.0,-0.0673,2021-05-10,2021-06-08,34.27,0.0236,1513.3
