run,date,equity,n_pos,units,drawn,gross
ONE_BOOK,2021-08-20,540947.09,11,13,125684.39,666631.48
ONE_BOOK,2021-08-23,548137.99,11,13,125692.32,673830.31
ONE_BOOK,2021-08-24,550926.09,11,13,125700.25,676626.34
ONE_BOOK,2021-08-25,552398.74,11,13,125708.18,678106.92
ONE_BOOK,2021-08-26,548861.05,11,13,125716.11,674577.17
ONE_BOOK,2021-08-27,556671.19,11,13,125724.04,682395.23
ONE_BOOK,2021-08-30,557367.37,11,13,125731.98,683099.34
ONE_BOOK,2021-08-31,559300.82,11,13,125739.91,685040.73
ONE_BOOK,2021-09-01,559688.78,11,12,77489.34,637178.12
ONE_BOOK,2021-09-02,563627.14,12,13,138408.61,702035.75
ONE_BOOK,2021-09-03,565352.57,12,13,138417.29,703769.86
ONE_BOOK,2021-09-07,558068.27,12,13,138425.97,696494.23
ONE_BOOK,2021-09-08,553420.9,11,12,84568.51,637989.41
ONE_BOOK,2021-09-09,551703.82,11,13,135528.21,687232.03
ONE_BOOK,2021-09-10,545827.73,11,13,135536.71,681364.43
ONE_BOOK,2021-09-13,549277.19,11,13,135545.2,684822.4
ONE_BOOK,2021-09-14,543283.27,11,13,130324.78,673608.05
ONE_BOOK,2021-09-15,545527.69,11,13,130332.95,675860.64
ONE_BOOK,2021-09-16,545647.06,11,13,130341.12,675988.18
ONE_BOOK,2021-09-17,542967.29,11,13,130349.29,673316.58
ONE_BOOK,2021-09-20,536088.69,11,13,130357.47,666446.15
ONE_BOOK,2021-09-21,534790.81,11,13,130365.64,665156.45
ONE_BOOK,2021-09-22,543738.52,11,13,130373.81,674112.33
ONE_BOOK,2021-09-23,553918.27,11,13,130381.99,684300.26
ONE_BOOK,2021-09-24,556516.55,11,13,130390.16,686906.72
ONE_BOOK,2021-09-27,558027.13,11,13,130398.34,688425.47
ONE_BOOK,2021-09-28,546837.61,11,13,130406.51,677244.13
ONE_BOOK,2021-09-29,545393.71,11,13,127323.44,672717.15
ONE_BOOK,2021-09-30,532667.35,11,13,121730.52,654397.87
ONE_BOOK,2021-10-01,542934.61,11,13,121738.15,664672.75
ONE_BOOK,2021-10-04,538414.59,11,13,121745.78,660160.37
ONE_BOOK,2021-10-05,539709.45,11,13,121753.41,661462.86
ONE_BOOK,2021-10-06,542017.44,11,13,121761.05,663778.49
