run,ticker,entry_date,entry_px,shares,exit_date,exit_px,reason,last_date
SCORE_RS_N20,POOL,2022-08-05,365.93,24.3806,2022-08-18,386.94,rollback,2022-08-17
SCORE_RS_N20,GE,2022-04-22,56.626,157.9151,2022-08-19,48.9068,rollback,2022-08-18
SCORE_RS_N20,CMG,2022-07-01,26.0416,302.0694,2022-08-22,32.8,rollback,2022-08-19
SCORE_RS_N20,CBOE,2022-08-18,124.05,74.8099,2022-08-22,122.81,rollback,2022-08-19
SCORE_RS_N20,HAL,2022-08-19,29.55,312.0387,2022-08-29,31.17,rollback,2022-08-26
SCORE_RS_N20,APA,2022-08-19,35.962,256.4088,2022-09-01,38.405,rollback,2022-08-31
SCORE_RS_N20,GILD,2022-09-02,65.04,134.9908,2022-09-14,64.41,rollback,2022-09-13
SCORE_RS_N20,LLY,2022-08-18,316.75,29.2988,2022-10-03,325.99,rollback,2022-09-30
SCORE_RS_N20,ROL,2022-08-17,37.0,251.1818,2022-10-06,36.63,rollback,2022-10-05
SCORE_RS_N20,LVS,2022-08-25,38.47,237.3589,2022-10-11,38.93,rollback,2022-10-10
SCORE_RS_N20,CTRA,2022-08-17,29.38,316.3362,2022-10-17,28.62,rollback,2022-10-14
SCORE_RS_N20,AIZ,2022-05-19,185.29,43.0326,2022-10-20,150.14,rollback,2022-10-19
SCORE_RS_N20,AAL,2022-08-02,14.05,632.8512,2022-10-21,13.36,rollback,2022-10-20
SCORE_RS_N20,FCX,2022-10-04,30.05,277.3977,2022-10-25,30.56,rollback,2022-10-24
SCORE_RS_N20,BMY,2022-07-29,74.45,118.1772,2022-10-26,73.09,rollback,2022-10-25
SCORE_RS_N20,EA,2022-08-29,130.45,67.893,2022-10-27,127.16,rollback,2022-10-26
SCORE_RS_N20,HOLX,2022-06-08,76.51,109.8957,2022-10-28,66.14,rollback,2022-10-27
SCORE_RS_N20,PFE,2022-07-27,51.94,164.1646,2022-10-28,45.98,rollback,2022-10-27
SCORE_RS_N20,CMCSA,2022-08-16,40.16,232.155,2022-11-01,31.985,rollback,2022-10-31
SCORE_RS_N20,HCA,2022-10-25,210.36,40.1808,2022-11-01,218.92,rollback,2022-10-31
SCORE_RS_N20,OGN,2022-07-27,32.79,260.0334,2022-11-03,27.25,rollback,2022-11-02
SCORE_RS_N20,UAL,2022-08-02,37.22,238.886,2022-11-03,40.57,rollback,2022-11-02
SCORE_RS_N20,SYY,2022-08-25,86.28,105.8295,2022-11-03,80.91,rollback,2022-11-02
SCORE_RS_N20,UNH,2022-10-17,517.74,15.8053,2022-11-03,541.74,rollback,2022-11-02
SCORE_RS_N20,CCL,2022-10-21,7.93,1032.4645,2022-11-03,8.34,rollback,2022-11-02
SCORE_RS_N20,SRE,2022-10-27,74.505,116.8217,2022-11-08,75.3,rollback,2022-11-07
SCORE_RS_N20,ANET,2022-10-28,29.8575,287.2244,2022-11-10,32.55,rollback,2022-11-09
SCORE_RS_N20,J,2022-11-04,116.77,71.5353,2022-11-10,121.07,rollback,2022-11-09
SCORE_RS_N20,ODFL,2022-11-07,137.025,61.1878,2022-11-10,150.145,rollback,2022-11-09
SCORE_RS_N20,DISH,2022-10-26,14.87,580.1845,2022-11-16,16.0,rollback,2022-11-15
SCORE_RS_N20,WDC,2022-10-06,36.92,229.5389,2022-11-17,35.53,rollback,2022-11-16
SCORE_RS_N20,MU,2022-11-07,56.43,148.5854,2022-11-17,57.3,rollback,2022-11-16
SCORE_RS_N20,AKAM,2022-11-10,91.8,94.707,2022-11-17,89.3,rollback,2022-11-16
SCORE_RS_N20,MTCH,2022-11-03,45.12,183.564,2022-11-18,47.78,rollback,2022-11-17
SCORE_RS_N20,PHM,2022-10-28,38.97,220.0561,2022-11-22,43.11,rollback,2022-11-21
SCORE_RS_N20,WYNN,2022-11-01,67.1,129.1054,2022-11-22,74.37,rollback,2022-11-21
SCORE_RS_N20,TPR,2022-11-07,32.56,257.5082,2022-11-22,35.08,rollback,2022-11-21
SCORE_RS_N20,SEDG,2022-06-22,278.0,28.1091,2022-11-29,297.56,rollback,2022-11-28
SCORE_RS_N20,BAX,2022-08-16,61.68,151.1605,2022-11-29,55.01,rollback,2022-11-28
SCORE_RS_N20,EXPE,2022-11-11,99.53,89.8398,2022-12-02,103.55,rollback,2022-12-01
SCORE_RS_N20,VRSK,2022-11-22,180.35,49.5084,2022-12-05,183.71,rollback,2022-12-02
SCORE_RS_N20,CTLT,2022-07-22,110.88,77.2947,2022-12-06,50.83,rollback,2022-12-05
SCORE_RS_N20,WM,2022-10-20,162.44,50.8697,2022-12-06,167.49,rollback,2022-12-05
SCORE_RS_N20,CBOE,2022-11-18,124.34,72.0986,2022-12-06,127.62,rollback,2022-12-05
SCORE_RS_N20,MO,2022-11-29,45.26,197.6129,2022-12-06,47.18,rollback,2022-12-05
SCORE_RS_N20,BBWI,2022-11-16,32.4,276.9772,2022-12-08,43.11,rollback,2022-12-07
SCORE_RS_N20,PCG,2022-11-21,15.1,584.4553,2022-12-16,16.09,rollback,2022-12-15
SCORE_RS_N20,NWL,2022-12-09,13.25,667.4479,2023-01-06,14.15,rollback,2023-01-05
SCORE_RS_N20,ALL,2022-12-16,130.75,66.0241,2023-01-10,140.46,rollback,2023-01-09
SCORE_RS_N20,TSN,2022-11-22,67.13,133.0148,2023-01-13,64.48,rollback,2023-01-12
SCORE_RS_N20,TER,2022-12-09,93.18,94.9121,2023-01-18,97.31,rollback,2023-01-17
SCORE_RS_N20,LW,2022-11-22,86.68,103.0118,2023-01-19,96.85,rollback,2023-01-18
SCORE_RS_N20,CCL,2022-11-30,9.81,912.9567,2023-01-20,10.28,rollback,2023-01-19
SCORE_RS_N20,AAL,2022-12-07,14.24,624.747,2023-01-25,15.97,rollback,2023-01-24
SCORE_RS_N20,AMD,2023-01-10,66.67,135.5318,2023-01-25,72.9,rollback,2023-01-24
SCORE_RS_N20,CHRW,2022-11-18,96.75,92.6565,2023-01-26,97.8,rollback,2023-01-25
SCORE_RS_N20,UAL,2023-01-06,41.41,214.1691,2023-01-27,49.34,rollback,2023-01-26
SCORE_RS_N20,STT,2022-12-08,80.72,110.0261,2023-02-06,90.14,rollback,2023-02-03
SCORE_RS_N20,TXT,2022-12-07,73.36,121.2674,2023-02-09,74.77,rollback,2023-02-08
SCORE_RS_N20,CME,2022-08-08,204.06,44.4599,2023-02-10,183.08,rollback,2023-02-09
SCORE_RS_N20,STX,2022-12-09,54.17,163.2539,2023-02-10,70.25,rollback,2023-02-09
SCORE_RS_N20,LMT,2022-11-21,478.49,18.4436,2023-02-16,477.0,rollback,2023-02-15
SCORE_RS_N20,TSLA,2023-01-18,136.555,69.324,2023-02-17,199.985,rollback,2023-02-16
SCORE_RS_N20,MOS,2022-10-11,51.81,156.4517,2023-03-08,54.22,rollback,2023-03-07
SCORE_RS_N20,APA,2023-01-13,45.17,204.01,2023-04-05,37.89,rollback,2023-04-04
SCORE_RS_N20,RTX,2023-01-25,99.3,93.3968,2023-04-05,99.24,rollback,2023-04-04
SCORE_RS_N20,CF,2023-02-10,86.98,110.9005,2023-04-14,77.86,rollback,2023-04-13
SCORE_RS_N20,TRGP,2023-02-09,75.4,129.8744,2023-04-18,76.75,rollback,2023-04-17
SCORE_RS_N20,UNH,2023-02-10,489.13,19.7205,2023-04-18,503.67,rollback,2023-04-17
SCORE_RS_N20,MTB,2023-01-20,155.38,58.9597,2023-04-21,123.99,rollback,2023-04-20
SCORE_RS_N20,CMCSA,2023-02-17,39.71,241.1719,2023-05-05,40.57,rollback,2023-05-04
SCORE_RS_N20,FSLR,2023-04-18,215.87,42.2921,2023-05-17,214.1,rollback,2023-05-16
SCORE_RS_N20,EQT,2022-11-01,42.37,204.455,2023-05-22,35.46,rollback,2023-05-19
SCORE_RS_N20,AMZN,2023-02-16,99.21,97.2866,2023-05-22,116.77,rollback,2023-05-19
SCORE_RS_N20,AAL,2023-03-08,16.41,566.9366,2023-05-22,14.915,rollback,2023-05-19
SCORE_RS_N20,DXC,2022-11-08,29.0,294.1079,2023-06-01,24.98,rollback,2023-05-31
SCORE_RS_N20,LNC,2023-04-18,22.075,413.5816,2023-06-09,23.51,rollback,2023-06-08
SCORE_RS_N20,NUE,2023-04-21,154.62,58.3682,2023-06-15,150.01,rollback,2023-06-14
SCORE_RS_N20,ADI,2023-06-09,183.27,49.2372,2023-06-15,190.78,rollback,2023-06-14
SCORE_RS_N20,CEG,2023-04-06,76.61,117.5443,2023-06-20,93.13,rollback,2023-06-16
SCORE_RS_N20,EL,2023-06-15,192.83,46.8244,2023-06-21,196.3,rollback,2023-06-20
SCORE_RS_N20,PYPL,2022-09-15,95.1,93.2341,2023-06-22,67.52,rollback,2023-06-21
SCORE_RS_N20,INTC,2023-05-22,29.85,297.874,2023-06-22,32.69,rollback,2023-06-21
SCORE_RS_N20,HII,2022-12-05,237.79,38.1861,2023-06-23,217.55,rollback,2023-06-22
SCORE_RS_N20,DPZ,2023-01-19,345.77,26.3941,2023-06-23,320.0,rollback,2023-06-22
SCORE_RS_N20,WTW,2022-04-26,239.36,36.2083,2023-06-26,233.0,rollback,2023-06-23
SCORE_RS_N20,TYL,2023-06-23,397.19,22.3188,2023-07-05,409.82,rollback,2023-07-03
SCORE_RS_N20,PCG,2023-06-01,16.84,518.6912,2023-07-07,17.41,rollback,2023-07-06
SCORE_RS_N20,GL,2023-02-06,120.18,80.0615,2023-07-13,110.69,rollback,2023-07-12
SCORE_RS_N20,EOG,2023-05-22,114.27,77.8097,2023-07-17,118.21,rollback,2023-07-14
SCORE_RS_N20,MRO,2023-05-22,23.13,384.3967,2023-07-17,24.05,rollback,2023-07-14
SCORE_RS_N20,TECH,2023-05-17,82.52,105.5519,2023-07-18,83.08,rollback,2023-07-17
SCORE_RS_N20,CRM,2023-06-21,216.52,41.6126,2023-07-18,227.05,rollback,2023-07-17
SCORE_RS_N20,PSA,2023-06-27,289.71,30.9033,2023-07-18,301.01,rollback,2023-07-17
SCORE_RS_N20,EXR,2023-04-05,160.25,56.0107,2023-07-19,151.08,rollback,2023-07-18
SCORE_RS_N20,HAL,2023-01-27,40.9,233.6305,2023-07-20,37.01,rollback,2023-07-19
SCORE_RS_N20,HIG,2023-01-25,76.14,121.8029,2023-07-24,74.14,rollback,2023-07-21
